team_abbreviation_home,team_abbreviation_away,lambda_h,lambda_a,win_prob,projected_spread
BKN,BOS,103.61,110.67,0.3146,7.1
BKN,DEN,107.34,110.58,0.4131,3.2
BKN,MIN,104.8,110.42,0.351,5.6
BKN,NYK,106.67,110.58,0.3952,3.9
BKN,OKC,105.36,112.62,0.3112,7.3
BKN,IND,107.12,112.71,0.3531,5.6
DAL,UTA,114.38,109.23,0.6347,-5.1
DAL,TOR,108.34,108.61,0.4928,0.3
DAL,PHX,114.17,108.28,0.6536,-5.9
DAL,PHI,111.63,108.59,0.5811,-3.0
DAL,POR,111.65,109.8,0.5496,-1.9
DAL,SAS,112.78,108.75,0.6066,-4.0
DAL,BKN,111.63,108.54,0.5825,-3.1
DAL,SAC,109.46,111.16,0.4546,1.7
DAL,ATL,112.52,112.47,0.5015,-0.1
DAL,CHA,113.21,106.93,0.664,-6.3
DAL,WAS,113.21,106.93,0.6638,-6.3
DAL,NOP,112.77,108.28,0.6188,-4.5
DAL,CHI,112.63,112.47,0.5044,-0.2
DAL,MEM,111.65,109.8,0.5496,-1.9
DAL,MIA,110.58,111.63,0.4718,1.1
DAL,ORL,107.08,106.93,0.504,-0.1
DAL,MIL,111.49,111.98,0.487,0.5
DAL,LAL,106.14,108.62,0.433,2.5
DAL,DET,110.77,109.77,0.527,-1.0
DAL,LAC,106.51,110.5,0.3933,4.0
DAL,HOU,106.05,110.61,0.3782,4.6
DAL,CLE,106.05,111.96,0.3443,5.9
DAL,GSW,105.89,105.93,0.499,0.0
DAL,BOS,105.06,107.78,0.4261,2.7
DAL,DEN,108.25,108.62,0.4902,0.4
DAL,MIN,105.97,108.62,0.4283,2.6
DAL,NYK,107.27,108.62,0.4635,1.3
DAL,OKC,105.95,110.45,0.38,4.5
DAL,IND,108.37,111.48,0.4169,3.1
SAC,UTA,117.16,109.32,0.6987,-7.8
SAC,TOR,111.51,108.89,0.5699,-2.6
SAC,PHX,117.65,108.37,0.7315,-9.3
SAC,PHI,114.89,108.68,0.661,-6.2
SAC,POR,114.91,109.89,0.6312,-5.0
SAC,SAS,116.52,108.85,0.6954,-7.7
SAC,BKN,114.89,108.63,0.6623,-6.3
SAC,DAL,113.01,109.11,0.6032,-3.9
SAC,ATL,116.25,112.56,0.5964,-3.7
SAC,CHA,116.97,107.02,0.7468,-9.9
SAC,WAS,116.96,107.02,0.7466,-9.9
SAC,NOP,116.51,108.37,0.7065,-8.1
SAC,CHI,116.37,112.56,0.5993,-3.8
SAC,MEM,114.91,109.89,0.6312,-5.0
SAC,MIA,113.18,111.73,0.5387,-1.5
SAC,ORL,109.62,107.22,0.5648,-2.4
SAC,MIL,114.75,112.07,0.5705,-2.7
SAC,LAL,109.04,108.91,0.5036,-0.1
SAC,DET,113.39,109.86,0.5932,-3.5
SAC,LAC,109.04,110.79,0.4529,1.8
SAC,HOU,108.84,110.91,0.4446,2.1
SAC,CLE,108.72,112.26,0.4059,3.5
SAC,GSW,108.44,106.21,0.5604,-2.2
SAC,BOS,107.56,108.07,0.4861,0.5
SAC,DEN,110.84,108.91,0.5518,-1.9
SAC,MIN,108.64,108.91,0.4928,0.3
SAC,NYK,110.2,108.91,0.5347,-1.3
SAC,OKC,108.84,110.74,0.449,1.9
SAC,IND,111.81,111.58,0.5061,-0.2
ATL,UTA,118.39,112.34,0.655,-6.1
ATL,TOR,113.39,112.5,0.5235,-0.9
ATL,PHX,118.89,111.76,0.6807,-7.1
ATL,PHI,116.44,112.28,0.6084,-4.2
ATL,POR,116.46,113.18,0.5856,-3.3
ATL,SAS,117.86,111.76,0.6563,-6.1
ATL,BKN,116.44,112.11,0.6126,-4.3
